,Product_Name,orgprice,Price,Processor,Battry_Type,Ratings,No_ratings,No_reviews,Warrenty,Colour,Battery,RAM,ROM,Display,Rear_cam
401,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,579","13,338 ", 6 , Quetzal Cyan,6000 ,3 , 32 , 6.82 ,13 
402,Infinix Smart 4 Plus ,"9,999","7,999", Helio A25 ,Mediatek,4.4,"1,57,579","13,338 ", 6 , Ocean Wave,6000 ,3 , 32 , 6.82 ,13 
403,REDMI Note 9 ,"14,999","10,999", Helio G85 ,MediaTek,4.4,"31,855","2,365 ", 6 , Pebble Grey,5020 ,4 , 64 , 6.53 ,48 
404,POCO M3 ,"12,999","10,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,620","10,104 ", 6 , Cool Blue,6000 ,6 , 64 , 6.53 ,48 
405,realme C20 ,"7,999","6,799", Helio G35 ,MediaTek,4.4,"20,958",955 , 6 , Cool Grey,5000 ,2 , 32 , 6.5 ,8 
406,realme C20 ,"7,999","6,799", Helio G35 ,MediaTek,4.4,"20,958",955 , 6 , Cool Blue,5000 ,2 , 32 , 6.5 ,8 
407,POCO M3 ,"14,999","11,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,620","10,104 ", 6 , Cool Blue,6000 ,6 , 128 , 6.53 ,48 
408,realme Narzo 30A ,"10,999","9,499", Helio G85 ,MediaTek,4.4,"43,955","2,673 ", 6 , Laser Blue,6000 ,4 , 64 , 6.51 ,13 
409,realme Narzo 30A ,"10,999","9,499", Helio G85 ,MediaTek,4.4,"43,955","2,673 ", 6 , Laser Black,6000 ,4 , 64 , 6.51 ,13 
410,realme Narzo 30A ,"9,999","8,499", Helio G85 ,MediaTek,4.4,"28,812","1,948 ", 6 , Laser Blue,6000 ,3 , 32 , 6.51 ,13 
411,realme Narzo 30A ,"9,999","8,499", Helio G85 ,MediaTek,4.4,"28,812","1,948 ", 6 , Laser Black,6000 ,3 , 32 , 6.51 ,13 
412,REDMI 9i ,"9,999","7,999", Helio G25 ,MediaTek,4.3,"2,87,592","16,263 ", 1 , Midnight Black,5000 ,4 , 64 , 6.53 ,13 
413,OPPO A53 ,"17,990","12,990", Snapdragon 460 ,Qualcomm,4.4,"8,929",515 , 1 , Mint Cream,5000 ,6 , 128 , 6.5 ,13 
414,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,739","2,601 ", 6 , Blazing Blue,6000 ,4 , 64 , 6.53 ,48 
415,REDMI 9 Power ,"13,999","9,999", Snapdragon 662 ,Qualcomm,4.3,"34,739","2,601 ", 6 , Electric Green,6000 ,4 , 64 , 6.53 ,48 
416,realme Narzo 20 ,"12,999","10,499", Helio G85 ,MediaTek,4.3,"4,17,356","32,432 ", 1 , Glory Silver,6000 ,4 , 64 , 6.52 ,48 
417,REDMI 9i ,"9,999","7,999", Helio G25 ,MediaTek,4.3,"2,87,592","16,263 ", 1 , Sea Blue,5000 ,4 , 64 , 6.53 ,13 
418,POCO M3 ,"14,999","11,999", Snapdragon 662 ,Qualcomm,4.3,"1,34,620","10,104 ", 6 , Power Black,6000 ,6 , 128 , 6.53 ,48 
419,realme Narzo 20 ,"13,999","11,499", Helio G85 ,MediaTek,4.3,"4,17,356","32,432 ", 1 , Victory Blue,6000 ,4 , 128 , 6.52 ,48 
420,realme Narzo 20 ,"13,999","11,499", Helio G85 ,MediaTek,4.3,"4,17,356","32,432 ", 1 , Glory Silver,6000 ,4 , 128 , 6.52 ,48 
